id	number	hotelID	isReserved
002ce1ce-cd4b-44e9-800a-62a3f8033a2f	14	dcf273d8-7cdb-430c-ab27-c0ce9498980e	0
0032f5bb-58b3-45be-af2f-4eaf181ba2b5	11	1f7327ef-00f7-42ee-b900-0402a1e82bb3	0
0042834d-aca4-47b9-be41-4381db24f6c6	5	31caa6ff-994b-4c20-86f0-6978cc162fb6	0
005d9f89-ca95-4acc-9b1b-5b54cf9ee6f1	6	00312946-6493-4d6e-a981-8f33efa98913	0
008f3c89-5ecd-440c-a9a3-56c14cafefd2	13	f9c01106-7f48-418c-849c-c09dcc9de9f1	0
00b13b13-78b2-4472-a703-a15e79f31ba7	6	b557061d-a01a-4929-8a6d-db2382f16bd4	0
00dd3dd8-6fbb-430e-8cae-f547a9d34857	7	82d5c435-42b3-4064-b54b-cb07860458db	0
012bf79c-bf00-4eb2-b8f4-138fa09cbb98	6	8bbb9abb-41a8-432f-b680-aeff5f4d8b01	0
01300b77-3627-4056-95bc-168159ba72fd	11	0923049c-5fa4-42bd-9a85-76d7def2743b	0
0138110d-4b63-45dd-9477-d9a07b8864bf	2	b6a1841b-b9dc-4c58-a403-83b18f66db1b	0
016f3bb9-e2be-402f-8c72-131f0977b76a	19	1f7327ef-00f7-42ee-b900-0402a1e82bb3	0
01ca8d16-5c88-4aeb-a3d7-70dddb608529	19	80c5243d-ecc9-4722-852c-32d329013698	0
020b9c5a-35a8-4e5b-85ea-3a870c9e7a40	11	0dcff675-83b8-4ba1-86c7-f5dbb4be08f4	0
021a469d-569e-47e4-914f-1e45556cb4ac	11	65e0ba15-0087-47f4-b6ed-739ea2ca14fc	0
02299524-7dea-4a70-9aed-276fc7d851c6	14	7d3ef474-6b92-440f-8da2-f50ca85c4f01	0
02313558-be54-4dee-bf27-6c77a6660e6a	14	f8440324-715d-4e5d-93f5-d173773c2dfa	0
02318a2a-0d5a-41bc-b4ac-67253f64e510	15	2e8d4554-415e-4a33-a061-643dd099362e	0
0249dcc6-f64d-4fee-aec4-72bfde1f49e0	10	a8b3bfd6-1b12-4c72-95c5-db94f94a541a	0
0280edac-4a09-432e-ab4e-687da4aa767e	13	e4fadd7c-3dbb-40ca-8f2f-5fdbeb462bd3	0
0281a318-7733-4379-9831-c8a8c7af7c8a	19	1aadf1ea-80d3-45d9-ae6d-cf881eeca900	0
028dce8f-8e74-4e99-bc33-e4ce05368e4f	6	6c419e0e-5792-4128-abeb-8aaf0d28353e	0
029a946a-8d2b-4760-b933-daba1606646a	15	402e50c3-85bc-49c5-8a8e-399f3853b97c	0
029be3c2-eae1-4a01-b9dd-0facb9b56521	1	60997502-9ab2-4754-a290-c2eb9861e573	0
02ccf9ad-2b22-43b2-ab5d-5adb071f9518	7	e97b7476-d088-4e35-b605-35af728a39a3	0
